TERM_REDUCED,SECTION,FREQ
charpy,Keyword,1
iso 148,Keyword,1
machine anvils,Keyword,1
span,Keyword,1
wear,Keyword,1
mgi informatics,Keyword,1
strain,Keyword,1
digital image correlation,Keyword,1
technology transfer,Keyword,1
patent,Keyword,2
invention,Keyword,1
license,Keyword,1
generic shape retrieval,Keyword,1
range scans,Keyword,1
information search and retrieval,Keyword,1
partial 3d models,Keyword,1
multi-spectrum fitting,Keyword,1
hitran,Keyword,1
advanced line profiles,Keyword,1
artificial intelligence,Keyword,24
neural networks,Keyword,2
explainable models,Keyword,1
efficiency measurement,Keyword,1
exposure,Keyword,1
indoor air quality,Keyword,1
pathogens,Keyword,1
viruses,Keyword,1
system model,Keyword,1
model-based systems engineering,Keyword,2
industrial engineering,Keyword,1
production systems,Keyword,1
atmospheric lifetime,Keyword,1
partial lifetime,Keyword,1
atmosphere,Keyword,1
troposphere,Keyword,1
stratosphere,Keyword,1
photolysis,Keyword,1
oh,Keyword,1
hydroxyl,Keyword,1
process monitoring,Keyword,2
melt pool imaging,Keyword,1
xray powder diffraction,Keyword,1
diverging beam diffractometer,Keyword,2
powder diffraction srm,Keyword,1
gantry,Keyword,1
galvanometer,Keyword,1
covid-19,Keyword,2
coronavirus,Keyword,1
pandemic,Keyword,1
epidemiology,Keyword,1
data,Keyword,1
epidemic,Keyword,1
entropy scaling,Keyword,1
active evaluation,Keyword,1
ar,Keyword,1
northeast corridor,Keyword,1
bottom-up emissions inventory,Keyword,3
allostery,Keyword,1
e. coli,Keyword,1
lac repressor,Keyword,1
fitness landscape,Keyword,1
genotype-phenotype relationships,Keyword,1
dna barcode sequencing,Keyword,1
engineering biology,Keyword,1
black carbon,Keyword,1
elemental carbon,Keyword,1
organic carbon,Keyword,1
organic carbon aerosol,Keyword,1
thermal optical transmission analysis,Keyword,1
tot,Keyword,1
github pages template,Keyword,1
optbayesexpt,Keyword,1
phase calibration,Keyword,1
oscilloscope,Keyword,1
arbitrary waveform generator,Keyword,1
vector network analyzer,Keyword,1
ockham criteria,Keyword,1
sound static analysis tool exposition,Keyword,1
asian dust,Keyword,1
light absorption,Keyword,1
radiative forcing,Keyword,1
climate change,Keyword,1
energy-dispersive x-ray spectroscopy,Keyword,1
optical property modeling,Keyword,1
discrete dipole approximation method,Keyword,1
factory automation,Keyword,1
testbed,Keyword,1
instrumentation,Keyword,1
graph database,Keyword,1
high throughput,Keyword,1
collaboratory,Keyword,1
thin film,Keyword,1
open data,Keyword,1
phase mapping,Keyword,1
band gap,Keyword,1
aerosol,Keyword,1
bidirectional reflectance,Keyword,1
brdf,Keyword,1
diffuse,Keyword,1
gratings,Keyword,2
mie scattering,Keyword,1
mueller matrix,Keyword,1
polarization,Keyword,1
scatter,Keyword,1
surface,Keyword,1
nvlap,Keyword,1
accreditation,Keyword,1
trojan detection,Keyword,22
ai,Keyword,22
adversarial machine learning,Keyword,22
selective laser melting,Keyword,2
net present value,Keyword,1
internal rate of return,Keyword,1
payback,Keyword,1
investment,Keyword,1
cost effective,Keyword,1
viscosity data,Keyword,1
thermodataengine,Keyword,1
cybersecurity framework,Keyword,3
security control,Keyword,1
framework profile,Keyword,1
manufacturing profile,Keyword,1
tailored baseline,Keyword,1
xml,Keyword,2
dielectric virials,Keyword,1
pressure,Keyword,1
refractivity virials,Keyword,1
thermometry,Keyword,1
electrical sensing zone,Keyword,1
flow imaging,Keyword,1
light obscuration,Keyword,1
particle,Keyword,1
protein aggregate,Keyword,1
protein particle,Keyword,1
subvisible particle,Keyword,1
visible particle,Keyword,1
human genomics,Keyword,1
dna sequencing,Keyword,1
synthetic temperature data,Keyword,1
flashover occurrence prediction,Keyword,1
smart firefighting,Keyword,1
raman spectroscopy,Keyword,1
in-situ,Keyword,1
instrumented indentation,Keyword,1
fused silica,Keyword,1
high performance computing visualization,Keyword,1
building control systems,Keyword,1
ventilation and air conditioning equipment,Keyword,1
energy efficiency,Keyword,2
modeling and simulation research and numerical methods and software,Keyword,1
schlieren imaging,Keyword,1
flow visualization,Keyword,1
cough,Keyword,1
face covering,Keyword,1
face mask,Keyword,1
energy price projections,Keyword,1
life-cycle cost,Keyword,1
bed fires,Keyword,1
fires,Keyword,1
fire data,Keyword,1
fire deaths,Keyword,1
fire injuries,Keyword,1
fire standard effectiveness,Keyword,1
fire standards,Keyword,1
home fires,Keyword,1
mattress fires,Keyword,1
16 cfr part 1633,Keyword,1
its-90,Keyword,1
emf,Keyword,1
reference function,Keyword,1
temperature,Keyword,2
thermocouple,Keyword,1
thermometer,Keyword,1
chemical leaks,Keyword,1
re charge,Keyword,1
simulation programs,Keyword,1
zeotropic mixtures,Keyword,1
macos,Keyword,1
mac,Keyword,1
compliance,Keyword,1
baseline,Keyword,1
fisma,Keyword,1
stig,Keyword,1
oval,Keyword,1
xccdf,Keyword,1
first-principles calculations,Keyword,1
isotopic fractionation,Keyword,1
kinetic fractionation,Keyword,1
kinetic theory,Keyword,1
water,Keyword,2
statistical mechanics,Keyword,1
lennard-jones,Keyword,1
trappe,Keyword,1
spc,Keyword,1
united atom,Keyword,1
ewald,Keyword,1
adsorbate,Keyword,1
adsorbent,Keyword,2
adsorption,Keyword,2
isotherm,Keyword,1
metal organic framework,Keyword,2
porous material,Keyword,2
surface science,Keyword,1
porous coordination polymer,Keyword,1
covalent organic framework,Keyword,1
zeolite,Keyword,1
metal powder,Keyword,1
particle shape analysis,Keyword,1
x-ray computed tomography. spherical harmonics,Keyword,1
image analysis,Keyword,1
powder analysis,Keyword,1
powder particles,Keyword,1
titanium alloy,Keyword,1
ti64,Keyword,1
modified rhyme test (mrt),Keyword,2
intelligibility,Keyword,1
computer-generated hologram,Keyword,1
diffractive optics,Keyword,1
optical interferometry,Keyword,1
surface metrology,Keyword,1
aspheric surfaces,Keyword,1
freeform surfaces,Keyword,1
lithographic layout,Keyword,1
bilateral,Keyword,2
comparison,Keyword,2
expanded polystyrene,Keyword,1
expanded uncertainty,Keyword,1
fibrous glass,Keyword,1
guarded hot plate,Keyword,4
inter-laboratory,Keyword,1
test method,Keyword,1
thermal insulation,Keyword,3
fibrous glass mat,Keyword,1
industrial insulation,Keyword,1
interlaboratory,Keyword,1
building materials,Keyword,1
conductance,Keyword,1
energy conservations,Keyword,1
heat conductivities,Keyword,1
insulating materials,Keyword,1
insulation,Keyword,1
thermal insulations,Keyword,1
bulk density,Keyword,2
certified reference material,Keyword,2
fit,Keyword,2
high density molded fibrous glass board,Keyword,2
model,Keyword,2
regression analysis,Keyword,2
fault detection and diagnosis data,Keyword,1
heat pump data,Keyword,1
air-conditioner data,Keyword,1
cooling mode data,Keyword,1
machine learning models,Keyword,1
x-ray diffraction,Keyword,1
human labeling,Keyword,1
combinatorial methods,Keyword,1
v-nb-o thin films,Keyword,1
quantified uncertainyy,Keyword,1
open data challenge,Keyword,1
data processing,Keyword,1
acetone,Keyword,1
ethanol,Keyword,1
gas species measurements,Keyword,1
methanol,Keyword,1
liquid pool fires,Keyword,1
population,Keyword,1
allele frequency,Keyword,1
accolades,Keyword,1
awards,Keyword,1
mml,Keyword,1
nitrous oxide,Keyword,4
optical frequency combs,Keyword,2
geology,Keyword,1
geophysics,Keyword,1
apollo,Keyword,1
isotope,Keyword,1
geochronology,Keyword,1
paleomagnetism,Keyword,1
rock magnetism,Keyword,1
basalt,Keyword,1
lunar,Keyword,1
microprobe,Keyword,1
proteolysis,Keyword,2
temperature control.,Keyword,1
xray power diffraction,Keyword,1
power diffraction srm,Keyword,1
elastic shape distance,Keyword,1
rotation matrix,Keyword,1
trace,Keyword,1
d2d communication,Keyword,1
transport block success ratio (received/transmitted),Keyword,1
pmf of transport block consecutive losses (loss spurt).,Keyword,1
public safety,Keyword,4
lte coverage,Keyword,1
aggregate interference,Keyword,2
federal incumbent,Keyword,2
move list,Keyword,2
condon award,Keyword,1
edward uhler condon,Keyword,1
3.5 ghz band,Keyword,1
environmental sensing capability (esc) sensors,Keyword,1
dynamic protection areas (dpas).,Keyword,1
public safety communication,Keyword,4
device-to-device,Keyword,4
d2d,Keyword,4
ue-to-network relay,Keyword,3
wireless communication,Keyword,4
dynamic spectrum access,Keyword,2
white space utilization,Keyword,2
mission critical push to talk (mcptt),Keyword,2
access time,Keyword,4
proximity services,Keyword,2
off-network mode,Keyword,2
direct mode,Keyword,4
environmental sensing capability (esc) sensor,Keyword,1
dynamic protection area (dpa),Keyword,1
laboratory automation,Keyword,1
wireless communications,Keyword,3
long term evolution (lte),Keyword,4
factor screening,Keyword,1
sas-cbsd protocol,Keyword,1
heartbeat interval,Keyword,1
coexistence,Keyword,2
gaa,Keyword,2
microwave,Keyword,1
millimeter-wave,Keyword,1
5g,Keyword,2
targeted chemical pressure,Keyword,1
dielectric constant,Keyword,1
loss tangent,Keyword,1
permittivity,Keyword,1
low loss,Keyword,1
tunability,Keyword,1
frequency-agile,Keyword,1
filters,Keyword,1
resonators,Keyword,1
physical vapor,Keyword,1
deposition,Keyword,1
molecular beam epitaxy,Keyword,1
strain engineering,Keyword,1
titanate,Keyword,1
superlattice,Keyword,1
ruddlesden-popper,Keyword,1
probability of interference,Keyword,1
global positioning system (gps),Keyword,1
mission critical voice (mcv),Keyword,1
coverage range,Keyword,1
wi-fi,Keyword,1
direct discovery,Keyword,2
prose,Keyword,2
esc,Keyword,1
radio frequency signals,Keyword,2
virial coefficients,Keyword,1
adaptive integration,Keyword,1
greenhouse gas measurements,Keyword,1
respiratory syncytial virus,Keyword,1
nanoparticle vaccine,Keyword,1
fusion glycoprotein,Keyword,1
small-angle x-ray scattering,Keyword,1
polysorbate micelle,Keyword,1
beamforming,Keyword,1
clock drift,Keyword,1
mmwave,Keyword,1
phased-array antennas,Keyword,1
phase coherence,Keyword,1
winnforum,Keyword,1
approach 3,Keyword,1
community resilience,Keyword,1
indicators,Keyword,1
framework,Keyword,1
methodology,Keyword,1
physical system,Keyword,1
social system,Keyword,1
economic system,Keyword,1
natural system,Keyword,1
electromagnetic simulations,Keyword,1
experimental,Keyword,1
angle-resolved scattering,Keyword,1
patterned semiconductors,Keyword,1
scatterfield microscopy,Keyword,1
bright-field microscopy,Keyword,2
microscopy,Keyword,4
inverse problems,Keyword,1
filling pressure,Keyword,1
fire suppressant,Keyword,1
refrigerant,Keyword,1
vapor liquid equilibrium,Keyword,1
seabird,Keyword,2
tissues,Keyword,2
pbdes,Keyword,3
pcbs,Keyword,8
pcdds,Keyword,2
pcdf,Keyword,2
perflourinated acids,Keyword,2
phenols,Keyword,2
toxicology  pesticides,Keyword,2
heavy metals,Keyword,2
organic,Keyword,2
stable isotopes,Keyword,2
subcategories,Keyword,2
voltage regulation,Keyword,1
distribution system,Keyword,1
advanced metering infrastructure,Keyword,1
distributed energy resource,Keyword,1
distribution grid management,Keyword,1
nerc,Keyword,1
critical infrastructure,Keyword,1
cip,Keyword,1
bulk electric system,Keyword,1
risk management,Keyword,1
stainless steel,Keyword,2
elemental analysis,Keyword,7
low alloy steel,Keyword,1
cast iron,Keyword,1
srm 131h,Keyword,1
combustion,Keyword,2
infrared detection,Keyword,1
manufacturing specification,Keyword,1
srm 1546a,Keyword,1
meat homogenate,Keyword,1
certified value,Keyword,8
reference value,Keyword,8
coal,Keyword,11
coal fly ash,Keyword,4
srm 1849b,Keyword,1
infant formula,Keyword,1
adult nutritional formula,Keyword,1
pesticides,Keyword,5
flame retardants,Keyword,2
polychlorinated naphthalenes,Keyword,1
fatty acids,Keyword,4
perfluorinated substances,Keyword,1
fertilizer,Keyword,3
ammonium,Keyword,1
human plasma,Keyword,1
metabolites,Keyword,2
serum,Keyword,1
srm 2384,Keyword,1
baking chocolate,Keyword,1
srm 2387,Keyword,1
peanut butter,Keyword,1
hydrogen in titanium,Keyword,1
astm e1447,Keyword,1
srm 2585,Keyword,1
house dust,Keyword,1
nitric oxide,Keyword,1
gas,Keyword,1
cylinder,Keyword,1
petroleum coke,Keyword,1
coke,Keyword,3
srm 2950a,Keyword,1
respirable,Keyword,1
alpha quartz,Keyword,1
filter,Keyword,1
srm 2973,Keyword,1
vitamin d metabolites,Keyword,2
25-hydroxyvitamin d3,Keyword,2
25-hydroxyvitamin d2,Keyword,2
3-epi-25-hydroxyvitamin d3,Keyword,2
24r,Keyword,2
25-dihydroxyvitamin d3,Keyword,2
pure materials,Keyword,18
cations,Keyword,18
single-element solutions,Keyword,4
spectrometry,Keyword,18
single element solutions,Keyword,14
iodide,Keyword,1
anion,Keyword,7
sulfate,Keyword,1
chloride,Keyword,2
fluoride,Keyword,1
bromide,Keyword,1
nitrate,Keyword,1
srm 3235,Keyword,1
soy milk,Keyword,1
soy,Keyword,1
srm 3239,Keyword,1
isoflavones,Keyword,1
srm 3252,Keyword,1
protein drink mix,Keyword,1
srm 3262,Keyword,1
st. john's wort,Keyword,2
srm 3264,Keyword,1
srm 3281,Keyword,1
cranberry,Keyword,1
dietary supplement,Keyword,2
anthocyanin,Keyword,3
srm 3282,Keyword,1
cranberry juice,Keyword,1
juice,Keyword,1
srm 3287,Keyword,1
blueberry,Keyword,1
srm 3290,Keyword,1
dry cat food,Keyword,1
srm 3532,Keyword,1
calcium supplement,Keyword,1
srm 3669,Keyword,1
urine,Keyword,1
hydroxylated pahs,Keyword,2
phthalate metabolites,Keyword,2
phenol metabolites,Keyword,2
voc metabolites,Keyword,2
drugs,Keyword,3
health markers,Keyword,2
iron ore,Keyword,4
iron oxide,Keyword,1
srm 909c,Keyword,1
carbonate,Keyword,1
calcium carbonate,Keyword,1
srm 972a,Keyword,1
high purity chemical,Keyword,1
potassium chloride,Keyword,2
southern oceanic air,Keyword,1
ch4,Keyword,1
n2o,Keyword,1
amount of substance,Keyword,1
nanomagnet,Keyword,1
micromagnetic,Keyword,1
spin wave,Keyword,1
hmomm,Keyword,1
oommf,Keyword,1
ferromagnetic resonance,Keyword,1
cocr,Keyword,1
lattice structure,Keyword,1
cad drawing,Keyword,1
5g technology,Keyword,1
channel sounder,Keyword,1
millimeter-wave wireless communication,Keyword,1
propagation channel,Keyword,1
system timing,Keyword,1
time allan deviation,Keyword,1
timing errors,Keyword,1
timing noise,Keyword,1
timing offset,Keyword,1
wireless system.,Keyword,1
tem,Keyword,2
tomography,Keyword,1
carbon nanotube composite,Keyword,1
nanocomposite,Keyword,1
cnt,Keyword,1
computational science in biological metrology,Keyword,1
artificial intelligence based modeling,Keyword,1
convolutional neural networks,Keyword,1
image processing,Keyword,1
retinal pigment epithelial implants,Keyword,1
incumbent protection,Keyword,1
spectrum access system,Keyword,1
spectrum sharing.,Keyword,1
phase equilibrium,Keyword,1
equation of state,Keyword,4
numerical approximation,Keyword,3
chebyshev expansion,Keyword,1
single-cell,Keyword,1
single-transcript,Keyword,1
fish,Keyword,1
hcr,Keyword,1
flow cytometry,Keyword,1
variant calling,Keyword,1
whole-genome sequencing,Keyword,1
benchmarking,Keyword,1
precisionfda,Keyword,1
genome in a bottle,Keyword,1
standard generator,Keyword,1
si traceability,Keyword,1
id-cv-icp-ms,Keyword,1
primary measurement method,Keyword,1
catalog,Keyword,1
single fiber,Keyword,1
polyethylene,Keyword,1
rate effects,Keyword,1
dark solitons,Keyword,1
bose-einstein condensates,Keyword,1
ion fragmentation,Keyword,1
nist mass spectral libraries,Keyword,1
chemical identification,Keyword,1
combustion calorimetry,Keyword,1
organosulfur compounds,Keyword,1
standard-state corrections,Keyword,1
washburn corrections,Keyword,1
laboratory information management,Keyword,1
materials microscopy,Keyword,1
electron microscopy,Keyword,1
data management,Keyword,1
scientific data,Keyword,1
open science,Keyword,1
materials data,Keyword,1
materials data infrastructure,Keyword,1
access delay,Keyword,3
articulation band correlation modified rhyme test (abc-mrt),Keyword,3
a-weight,Keyword,1
encryption,Keyword,1
key performance indicator (kpi),Keyword,3
land mobile radio (lmr),Keyword,3
latency,Keyword,3
mission critical push-to-talk (mcptt),Keyword,1
mouth-to-ear (m2e),Keyword,3
packetized,Keyword,1
project 25 (p25),Keyword,3
push-to-talk (ptt),Keyword,1
"quality of experience
(qoe)",Keyword,1
receive,Keyword,1
streaming,Keyword,1
transmit,Keyword,1
vocoder,Keyword,1
molten salts,Keyword,1
electrical conductivity,Keyword,1
3d build,Keyword,1
powder bed fusion,Keyword,4
temperature measurement,Keyword,3
thermography,Keyword,4
overhangs,Keyword,1
reference artifact,Keyword,1
benchmark tests,Keyword,2
ambench,Keyword,2
ambench 2018,Keyword,2
cooling rate,Keyword,3
melt pool length,Keyword,2
laser,Keyword,1
inconel 625,Keyword,1
in 625,Keyword,1
shear wall,Keyword,1
oriented strand board,Keyword,1
strap braced,Keyword,1
steel sheathed,Keyword,1
xml schema,Keyword,1
data curation,Keyword,1
metadata,Keyword,1
sem,Keyword,1
laboratory information management system (lims),Keyword,1
laboratory notebook,Keyword,1
receiver testing,Keyword,2
aeronautical mobile telemetry,Keyword,1
heat release rate,Keyword,1
calorimetry,Keyword,1
smoke,Keyword,1
optical microcavities,Keyword,1
accelerometry,Keyword,1
condition monitoring,Keyword,1
workcell,Keyword,1
mlsa,Keyword,1
pfas,Keyword,2
environmental,Keyword,1
high-resolution mass spectrometry,Keyword,1
perfluoroalkyl substances,Keyword,1
polyfluoroalkyl substances,Keyword,1
oceans,Keyword,2
ph,Keyword,2
marine mammals,Keyword,2
seabirds,Keyword,2
localization,Keyword,1
particle tracking,Keyword,1
intrinsic aberration,Keyword,1
mems,Keyword,1
cooktop ignition,Keyword,1
sensor analysis,Keyword,1
ignition prevention,Keyword,1
isotopes,Keyword,1
mars,Keyword,1
titan,Keyword,1
atmospheric science,Keyword,1
ideal-gas properties,Keyword,1
partition function,Keyword,1
per- and polyfluoroalkyl substances,Keyword,1
reference mass spectrum,Keyword,1
chebyshev approximation,Keyword,1
x3d,Keyword,1
x3dom,Keyword,1
translation,Keyword,1
step file analyzer and viewer,Keyword,1
engineering design,Keyword,1
3d-printing,Keyword,1
extrusion,Keyword,1
support-bath,Keyword,1
herschel-bulkley,Keyword,1
rheology,Keyword,1
openfoam,Keyword,1
chebyshev,Keyword,1
magnetic resonance imaging,Keyword,1
mri,Keyword,2
t1,Keyword,1
phantom,Keyword,1
medical imaging,Keyword,1
phantoms,Keyword,1
biomarkers,Keyword,1
nasctn,Keyword,1
higher order lineshapes,Keyword,1
cavity ring-down spectroscopy,Keyword,1
advanced spectroscopic line shapes,Keyword,1
rietveld refinement,Keyword,1
titanium alloys,Keyword,1
forensic science,Keyword,1
gc-ms,Keyword,1
seized drug,Keyword,2
targeted methods,Keyword,1
coefficient of performance,Keyword,1
cycle simulation,Keyword,1
vapor compression,Keyword,1
volumetric capacity.,Keyword,1
controlled vocabulary,Keyword,1
vocabularies,Keyword,1
ghg measurements,Keyword,1
urban emissions modeling,Keyword,1
min-max test,Keyword,1
seized drug analysis,Keyword,1
lumped-parameter simulation,Keyword,1
model transformation,Keyword,1
audio,Keyword,2
communications,Keyword,2
delay,Keyword,2
device to device (d2d),Keyword,2
handset,Keyword,2
mission criticalpush  to  talk  (mcptt),Keyword,2
mission  critical  voice  (mcv),Keyword,2
modified  rhyme  test  (mrt),Keyword,2
proximity services (prose),Keyword,2
pushto talk (ptt),Keyword,2
quality of experience (qoe),Keyword,2
quality of service (qos),Keyword,2
repeater,Keyword,2
rootmean square error (rmse),Keyword,2
sidelink,Keyword,2
trunked mode.,Keyword,2
ti launch pad,Keyword,1
firmware,Keyword,1
code push to talk,Keyword,1
antibody-receptor interaction,Keyword,1
chromatography,Keyword,1
glycosylation,Keyword,1
monoclonal antibody,Keyword,1
receptor.,Keyword,1
intact antibody,Keyword,1
molecular model,Keyword,1
nistmab,Keyword,1
rm8671,Keyword,1
laser stabilization,Keyword,1
diode lasers,Keyword,1
quantum cascade lasers,Keyword,1
laser metrology,Keyword,1
optical resonators,Keyword,1
two-photon absorption,Keyword,1
implementation,Keyword,1
validation,Keyword,1
regenerative medicine,Keyword,1
cell therapy,Keyword,1
tissue engineering,Keyword,1
advanced imaging,Keyword,1
cell viability,Keyword,1
advanced therapy,Keyword,1
biomanufacturing,Keyword,1
standards,Topic,127
physics,Topic,47
bioscience,Topic,15
materials,Topic,69
information technology,Topic,111
nanotechnology,Topic,9
advanced communications,Topic,34
manufacturing,Topic,40
metrology,Topic,15
energy,Topic,16
health,Topic,11
chemistry,Topic,55
mathematics and statistics,Topic,30
fire,Topic,14
neutron research,Topic,4
resilience,Topic,2
environment,Topic,18
buildings and construction,Topic,13
electronics,Topic,11
forensics,Topic,8
public safety,Topic,13
performance excellence,Topic,1
early 1800s,Description,1
particular interest old paper,Description,5
particular interest,Description,1
interest,Description,38
old paper,Description,1
paper,Description,207
bibliographic database,Description,3
database,Description,285
closely,Description,5
precision measurement,Description,1
precision,Description,14
measurement,Description,222
fundamental constant,Description,2
constant,Description,23
experimental theoretical publication,Description,1
publication,Description,120
citation,Description,5
rare genomic target reference method,Title,5
rare genomic target,Title,3
genomic target,Title,1
target,Title,22
reference method,Title,1
reference,Title,146
method,Title,210
quantitative method dna copy number,Title,1
quantitative method,Title,2
dna copy number,Title,2
dna,Title,4
copy number,Title,3
copy,Title,7
number,Title,102
traditional quantitation optimization strategy manner,Title,2
traditional quantitation optimization strategy,Title,3
quantitation optimization strategy,Title,1
quantitation optimization,Title,1
quantitation,Title,2
optimization,Title,5
strategy,Title,11
manner,Title,3
small rna nucleotide composition,Title,1
rna nucleotide composition,Title,1
nucleotide composition,Title,1
nucleotide,Title,2
composition,Title,22
directly primer specificity,Title,1
primer specificity,Title,2
primer,Title,4
specificity,Title,1
ddpcr mirna microrna large obstacle,Title,2
ddpcr mirna microrna,Title,1
ddpcr,Title,4
mirna microrna,Title,1
large obstacle,Title,1
obstacle,Title,5
transcription efficiency,Title,1
transcription,Title,2
efficiency,Title,2
mirna measurement quantitative real time,Title,4
mirna measurement,Title,2
quantitative real time,Title,2
real time,Title,8
time,Title,115
reagent,Title,4
use,Title,133
traditional ddpcr quantification method,Title,3
ddpcr quantification method,Title,1
quantification method,Title,1
quantification,Title,3
certain target negative detection,Title,1
certain target,Title,1
negative detection,Title,1
detection,Title,42
false reading,Title,2
reading,Title,1
probe primer inadequate enzyme,Title,5
probe primer,Title,1
probe,Title,11
inadequate enzyme,Title,2
enzyme,Title,8
previously qrt pcr proprietary reagent,Title,2
previously qrt pcr,Title,1
qrt pcr,Title,1
proprietary reagent,Title,1
reverse transcription,Title,1
ddpcr step mirna quantification,Title,4
step mirna quantification,Title,1
step,Title,25
barrier,Title,17
ddpcr mirna measurement quality,Title,4
ddpcr mirna measurement,Title,1
quality,Title,36
efficacy model,Title,1
efficacy,Title,2
model,Title,491
optimization technique,Title,3
technique,Title,70
essential control,Title,2
control,Title,26
different commercial kit cdna synthesis,Title,1
different commercial kit,Title,2
commercial kit,Title,1
kit,Title,1
cdna synthesis,Title,2
synthesis,Title,7
synthetic mirna target use,Title,3
synthetic mirna target,Title,1
mirna target,Title,1
mirna qrt pcr measurement,Title,2
qrt pcr measurement,Title,1
pcr measurement,Title,1
step principle,Title,1
principle,Title,7
obstacle way limitation inefficiency,Title,3
obstacle way,Title,1
way,Title,18
limitation inefficiency,Title,5
limitation,Title,6
inefficiency,Title,3
confidently mirna copy number,Title,2
mirna copy number,Title,3
model system,Title,1
system,Title,191
criterion,Title,7
measurement technique,Title,6
individual experiment standard curve,Title,1
individual experiment,Title,2
experiment,Title,128
standard curve,Title,2
curve,Title,24
single sample,Title,2
sample,Title,81
specific mirna copy number,Title,3
novel way,Title,1
control validation measurement,Title,1
control validation,Title,1
validation,Title,30
value ratio measurement single unit,Title,1
value ratio,Title,2
value,Title,204
ratio,Title,17
measurement single unit,Title,3
single unit,Title,1
unit,Title,94
regulator clinician technician scientist,Title,1
regulator clinician technician,Title,1
regulator clinician,Title,1
regulator,Title,1
clinician,Title,3
technician,Title,2
scientist,Title,15
mirna measure,Title,3
measure,Title,16
diagnostic technique,Title,1
methodology,Title,15
step droplet digital pcr,Title,1
microrna quantitative measurement,Title,3
quantitative measurement,Title,3
fine ceramic engineering ceramic,Description,1
fine ceramic,Description,1
ceramic,Description,9
engineering ceramic,Description,3
engineering,Description,11
structural ceramic,Description,2
variously,Description,1
advanced ceramic,Description,1
wide range,Description,5
range,Description,57
evaluated material property datum,Description,2
evaluated material property,Description,1
evaluated material,Description,1
material,Description,473
property,Description,129
datum,Description,1130
corrosion resistant,Description,3
corrosion,Description,16
high strength low mass density,Description,4
high strength,Description,7
strength,Description,24
low mass density,Description,1
mass density,Description,2
density,Description,50
advanced engine design,Description,1
engine design,Description,1
engine,Description,8
design,Description,15
bearing,Description,6
electronic packaging stable electronic substrate,Description,1
electronic packaging,Description,1
packaging,Description,1
stable electronic substrate,Description,1
electronic substrate,Description,2
substrate,Description,13
resistant part,Description,3
part,Description,29
characteristic,Description,11
energy efficient heat exchanger,Description,1
energy,Description,86
heat exchanger,Description,8
heat,Description,34
exchanger,Description,7
high temperature,Description,6
temperature,Description,143
material application,Description,1
application,Description,72
basis,Description,10
material range,Description,4
oxynitride chemical family,Description,1
oxynitride chemical,Description,1
chemical,Description,53
family,Description,6
boride nitride carbide ceramic oxide,Description,2
boride nitride carbide,Description,1
boride nitride,Description,1
boride,Description,3
nitride,Description,2
carbide,Description,2
ceramic oxide,Description,2
oxide,Description,21
compound,Description,72
major series,Description,2
series,Description,31
chemical composition processing detail,Description,6
chemical composition,Description,2
processing detail,Description,4
processing,Description,47
detail,Description,47
characterization specification information,Description,2
characterization specification,Description,2
characterization,Description,12
specification,Description,16
information,Description,177
crystal density structure physical characteristic,Description,2
crystal density structure,Description,2
crystal density,Description,2
crystal,Description,8
structure,Description,85
physical characteristic,Description,2
numeric table,Description,6
table,Description,61
measured value,Description,4
condition procedure measurement method description,Description,6
condition procedure measurement method,Description,4
condition procedure,Description,2
condition,Description,59
procedure,Description,53
measurement method,Description,9
description,Description,66
case,Description,40
datum source fully detailed bibliography,Description,3
datum source,Description,4
source,Description,98
fully detailed bibliography,Description,2
detailed bibliography,Description,3
bibliography,Description,24
datum survey property value collection,Description,1
datum survey property value,Description,1
datum survey,Description,2
survey,Description,1
property value,Description,7
collection,Description,72
collection typically particular property material,Description,2
typically particular property material,Description,1
particular property material,Description,2
particular property,Description,3
material particular property study property,Description,2
particular property study property,Description,1
particular property study,Description,1
study,Description,78
specific material study,Description,1
specific material,Description,3
chemical structural mechanical thermal property,Description,2
property value evaluated typical,Description,2
evaluated typical,Description,2
typical value,Description,1
typical,Description,1
nominally similar material value,Description,3
nominally similar material,Description,1
security automation reference datum,Description,1
security automation reference,Description,1
security,Description,24
automation reference,Description,1
automation,Description,14
currently nvd,Description,2
nvd,Description,3
security automation specification,Description,2
security automation,Description,4
security automation datum,Description,2
government repository,Description,1
repository,Description,32
compliance activity security measurement,Description,1
compliance activity,Description,1
compliance,Description,8
activity,Description,29
security measurement,Description,3
data,Description,369
security configuration management vulnerability,Description,1
security configuration management,Description,1
security configuration,Description,2
configuration,Description,33
management,Description,21
vulnerability,Description,7
software asset,Description,2
software,Description,203
asset,Description,1
standard foundation,Description,1
standard,Description,70
foundation,Description,8
security content scap automation protocols,Description,1
security automation effort,Description,1
effort,Description,20
metric product name,Description,1
metric,Description,31
product name,Description,3
product,Description,42
name,Description,9
publicly software flaw,Description,1
publicly,Description,1
software flaw,Description,2
flaw,Description,2
listing,Description,7
ncp security configuration checklist database,Description,2
ncp security configuration checklist,Description,1
security configuration checklist,Description,1
checklist,Description,1
formal validation program,Description,2
validation program,Description,1
program,Description,90
specific enterprise capability support,Description,1
specific enterprise capability,Description,1
enterprise capability,Description,1
enterprise,Description,5
capability,Description,8
support,Description,20
product conformance security automation datum,Description,1
product conformance,Description,2
conformance,Description,5
form,Description,43
vendor product ability,Description,2
vendor product,Description,1
vendor,Description,4
